,precision,recall,f1-score,support
N,0.9692197566213314,0.9963941423209949,0.9826191080953591,13589.0
S,0.9676425269645609,0.7539015606242497,0.8475033738191633,833.0
V,0.9661743687470223,0.9341317365269461,0.9498829039812646,2171.0
F,0.9230769230769231,0.6970954356846473,0.7943262411347518,241.0
Q,0.9889173060528559,0.9618573797678275,0.9751996637242539,2412.0
accuracy,0.9707991270913436,0.9707991270913436,0.9707991270913436,0.9707991270913436
macro avg,0.9630061762925386,0.8686760509849331,0.9099062581509585,19246.0
weighted avg,0.9706987495011724,0.9707991270913436,0.9697906769125479,19246.0
