,precision,recall,f1-score,support
N,0.9888962423707626,0.9896239605563323,0.9892599676327792,13589.0
S,0.8772136953955135,0.8919567827130852,0.8845238095238094,833.0
V,0.9720311783585511,0.976508521418701,0.9742647058823529,2171.0
F,0.945,0.7842323651452282,0.8571428571428571,241.0
Q,0.9888383629599008,0.9917081260364843,0.9902711653901883,2412.0
accuracy,0.981606567598462,0.981606567598462,0.981606567598462,0.981606567598462
macro avg,0.9543958958169456,0.9268059511739661,0.9390925011143973,19246.0
weighted avg,0.9816030793679962,0.981606567598462,0.9815076477947792,19246.0
